Index,Tipo,Quantita,Rumore,Neuroni,Matrice,Epoche,Output,FID_Totale,FID_Relativo,Precisione,Richiamo,Densita,Copertura,Batch
130,uguali,5.0,False,5,greg,3000,64,13.329449465154664,12.066962533179488,0.421875,0.0,0.21875,0.0125,
131,uguali,5.0,False,9,greg,3000,64,7.102915127286486,5.957787170729144,0.21875,0.005,0.065625,0.0175,
132,uguali,5.0,False,13,greg,3000,64,4.7800071920445895,3.648569813226098,0.421875,0.0,0.16875,0.0175,
133,uguali,5.0,False,17,greg,3000,64,3.7040293993440097,2.642262549702258,0.265625,0.0,0.071875,0.0075,
134,uguali,5.0,False,21,greg,3000,64,2.895683794472086,1.835830854786662,0.234375,0.0,0.096875,0.01,
135,uguali,5.0,False,5,greg,3000,64,6.953005061925447,8.523186885038726,0.328125,0.0,0.128125,0.0125,
136,uguali,5.0,False,9,greg,3000,64,3.1062206666287824,4.066458201236828,0.21875,0.0075,0.04375,0.01,
137,uguali,5.0,False,13,greg,3000,64,2.195195714496345,2.832321626102332,0.265625,0.0,0.05625,0.0075,
138,uguali,5.0,False,17,greg,3000,64,1.9137579426683429,2.459339353929108,0.125,0.0,0.03125,0.0075,
139,uguali,5.0,False,21,greg,3000,64,1.6786462573821728,2.056362085288705,0.078125,0.0,0.015625,0.0025,
140,uguali,5.0,False,5,greg,3000,64,15.95133543514548,15.785740502918342,0.1875,0.0025,0.06875,0.01,
141,uguali,5.0,False,9,greg,3000,64,6.771927481231257,6.857134646514874,0.25,0.01,0.053125,0.01,
142,uguali,5.0,False,13,greg,3000,64,4.844253525561065,4.991061569747519,0.140625,0.0,0.04375,0.0125,
143,uguali,5.0,False,17,greg,3000,64,3.437075767213558,3.637278732412799,0.0625,0.0,0.028125,0.0075,
144,uguali,5.0,False,21,greg,3000,64,2.891137313053421,3.121015850812269,0.0,0.0,0.0,0.0,
145,uguali,5.0,False,5,greg,3000,64,12.124166032970567,16.326198072387886,0.1875,0.0,0.040625,0.0075,
146,uguali,5.0,False,9,greg,3000,64,9.69931025507146,13.487844297965957,0.21875,0.0025,0.04375,0.0075,
147,uguali,5.0,False,13,greg,3000,64,6.612155317365368,9.569839052210764,0.03125,0.0,0.00625,0.0025,
148,uguali,5.0,False,17,greg,3000,64,5.163052058628877,7.635802132220002,0.03125,0.0,0.01875,0.0075,
149,uguali,5.0,False,21,greg,3000,64,3.646323065883465,5.693792218729566,0.0,0.0,0.0,0.0,
150,diversi,5.0,False,5,greg,3000,64,20.089298943799218,-100.0,0.3125,0.0,0.140625,0.015,
151,diversi,5.0,False,9,greg,3000,64,13.552923630783962,-100.0,0.140625,0.0,0.04375,0.005,
152,diversi,5.0,False,13,greg,3000,64,9.3386109870207,-100.0,0.046875,0.0,0.021875,0.0075,
153,diversi,5.0,False,17,greg,3000,64,7.126441695088848,-100.0,0.078125,0.0025,0.021875,0.0075,
154,diversi,5.0,False,21,greg,3000,64,5.627505952386841,-100.0,0.15625,0.0,0.05,0.0075,
155,diversi,5.0,False,5,greg,3000,64,24.390345594785583,-100.0,0.171875,0.0,0.075,0.015,
156,diversi,5.0,False,9,greg,3000,64,14.125411667671791,-100.0,0.109375,0.0,0.053125,0.015,
157,diversi,5.0,False,13,greg,3000,64,9.344076001447323,-100.0,0.0,0.0,0.0,0.0,
158,diversi,5.0,False,17,greg,3000,64,6.938040073076042,-100.0,0.0,0.0,0.0,0.0,
159,diversi,5.0,False,21,greg,3000,64,5.484972830687953,-100.0,0.015625,0.095,0.003125,0.0025,
160,diversi,5.0,False,5,greg,3000,64,20.44252976647573,-100.0,0.015625,0.0325,0.009375,0.0075,
161,diversi,5.0,False,9,greg,3000,64,11.840163046302798,-100.0,0.046875,0.025,0.015625,0.01,
162,diversi,5.0,False,13,greg,3000,64,8.050583305686079,-100.0,0.0,0.0,0.0,0.0,
163,diversi,5.0,False,17,greg,3000,64,5.994652967918005,-100.0,0.0,0.0,0.0,0.0,
164,diversi,5.0,False,21,greg,3000,64,4.478356473110126,-100.0,0.0,0.0725,0.0,0.0,
165,diversi,5.0,False,5,greg,3000,64,23.569079455613743,-100.0,0.015625,0.065,0.0125,0.01,
166,diversi,5.0,False,9,greg,3000,64,17.202578609050395,-100.0,0.0,0.0,0.0,0.0,
167,diversi,5.0,False,13,greg,3000,64,12.39407156984181,-100.0,0.0,0.0,0.0,0.0,
168,diversi,5.0,False,17,greg,3000,64,9.090214761118071,-100.0,0.0,0.0,0.0,0.0,
169,diversi,5.0,False,21,greg,3000,64,7.173220721802013,-100.0,0.0,0.0,0.0,0.0,
170,diversi,5.0,False,5,greg,3000,64,19.200927239167832,-100.0,0.0,0.0,0.0,0.0,
171,diversi,5.0,False,9,greg,3000,64,11.022237803451116,-100.0,0.0,0.0,0.0,0.0,
172,diversi,5.0,False,13,greg,3000,64,7.572603157520622,-100.0,0.0,0.0,0.0,0.0,
173,diversi,5.0,False,17,greg,3000,64,5.632328032470845,-100.0,0.0,0.0,0.0,0.0,
174,diversi,5.0,False,21,greg,3000,64,4.6329055607489895,-100.0,0.0,0.0,0.0,0.0,
175,diversi,10.0,False,5,curti,3000,64,11.701209689332076,-100.0,0.796875,0.0,0.584375,0.0225,
176,diversi,10.0,False,9,curti,3000,64,9.98807659025318,-100.0,0.140625,0.0,0.0625,0.015,
177,diversi,10.0,False,13,curti,3000,64,7.827432138398142,-100.0,0.03125,0.0,0.021875,0.01,
178,diversi,10.0,False,17,curti,3000,64,6.60708733954128,-100.0,0.203125,0.0,0.071875,0.0175,
179,diversi,10.0,False,21,curti,3000,64,6.054681069834358,-100.0,0.359375,0.0,0.23125,0.015,
180,diversi,10.0,False,5,curti,3000,64,10.68483420342234,-100.0,0.8125,0.0,0.6625000000000001,0.0225,
181,diversi,10.0,False,9,curti,3000,64,6.624364268550404,-100.0,0.265625,0.0,0.1375,0.015,
182,diversi,10.0,False,13,curti,3000,64,4.568738348251786,-100.0,0.078125,0.0,0.03125,0.0075,
183,diversi,10.0,False,17,curti,3000,64,3.603358224897397,-100.0,0.40625,0.0,0.134375,0.015,
184,diversi,10.0,False,21,curti,3000,64,2.929592486463352,-100.0,0.484375,0.0,0.3,0.015,
185,diversi,10.0,False,5,curti,3000,64,17.525536324481735,-100.0,0.90625,0.0,0.76875,0.02,
186,diversi,10.0,False,9,curti,3000,64,13.147398127294704,-100.0,0.46875,0.0,0.178125,0.015,
187,diversi,10.0,False,13,curti,3000,64,10.700110312177276,-100.0,0.140625,0.0,0.0875,0.0125,
188,diversi,10.0,False,17,curti,3000,64,8.446770988188636,-100.0,0.390625,0.0,0.125,0.0175,
189,diversi,10.0,False,21,curti,3000,64,6.476278108487002,-100.0,0.484375,0.0,0.29375,0.0125,
190,diversi,10.0,False,5,curti,3000,64,13.257214050088525,-100.0,0.984375,0.0,0.903125,0.0225,
191,diversi,10.0,False,9,curti,3000,64,9.522122896866264,-100.0,0.390625,0.0,0.1625,0.0125,
192,diversi,10.0,False,13,curti,3000,64,8.778660799951693,-100.0,0.265625,0.0,0.153125,0.01,
193,diversi,10.0,False,17,curti,3000,64,7.20056547682138,-100.0,0.4375,0.0,0.1625,0.02,
194,diversi,10.0,False,21,curti,3000,64,6.264854703178936,-100.0,0.4375,0.0,0.28125,0.0125,
195,diversi,10.0,False,5,curti,3000,64,13.7567514527173,-100.0,0.984375,0.0,0.903125,0.0225,
196,diversi,10.0,False,9,curti,3000,64,11.371648473709424,-100.0,0.453125,0.0,0.2125,0.015,
197,diversi,10.0,False,13,curti,3000,64,9.12043018294295,-100.0,0.328125,0.0,0.2125,0.0125,
198,diversi,10.0,False,17,curti,3000,64,7.780784163655886,-100.0,0.4375,0.0,0.140625,0.02,
199,diversi,10.0,False,21,curti,3000,64,6.056804083553333,-100.0,0.453125,0.0,0.2625,0.0125,
200,tutti,10.0,False,21,greg,3000,64,1.5650699280987177,-100.0,0.1875,0.0,0.071875,0.01,
201,tutti,10.0,False,25,greg,3000,64,1.5230875235273784,-100.0,0.046875,0.0,0.01875,0.0075,
202,tutti,10.0,False,29,greg,3000,64,1.4887051241645728,-100.0,0.015625,0.0,0.009375,0.0075,
203,tutti,20.0,False,21,greg,3000,64,1.5253816481090925,-100.0,0.03125,0.0,0.0125,0.0075,
204,tutti,20.0,False,25,greg,3000,64,1.4768714617880063,-100.0,0.03125,0.0,0.01875,0.01,
205,tutti,20.0,False,29,greg,3000,64,1.494573025884659,-100.0,0.0,0.0,0.0,0.0,
206,tutti,50.0,False,21,greg,3000,64,1.4630862189541152,-100.0,0.0,0.0,0.0,0.0,
207,tutti,50.0,False,25,greg,3000,64,1.5715532094921771,-100.0,0.015625,0.0,0.003125,0.0025,
208,tutti,50.0,False,29,greg,3000,64,1.6023885512949736,-100.0,0.0,0.0,0.0,0.0,
209,tutti,100.0,False,21,greg,3000,64,1.4124556141870217,-100.0,0.0,0.0,0.0,0.0,
210,tutti,100.0,False,25,greg,3000,64,1.5279587100751069,-100.0,0.0,0.0,0.0,0.0,
211,tutti,100.0,False,29,greg,3000,64,1.4400349429116144,-100.0,0.0,0.0,0.0,0.0,
212,2people,20.0,False,5,greg,3000,64,14.601895337199034,-100.0,0.296875,0.0,0.109375,0.015,
213,2people,20.0,False,9,greg,3000,64,7.872129059241123,-100.0,0.484375,0.0,0.1125,0.01,
214,2people,20.0,False,13,greg,3000,64,5.279728360746499,-100.0,0.515625,0.0,0.103125,0.0025,
